ID,著者,年,タイトル,掲載誌,主目的,データ種別,主要手法,対象地域,DOI_URL,PDF有無,重要度,RQ1関連,RQ2関連,RQ3関連,キーワード,メモ
S1,Ermida et al.,2020,Google Earth Engine open-source code for Land Surface Temperature estimation from the Landsat series,Remote Sensing,LST算出手法の確立,衛星・再解析,SMW法,グローバル,https://www.mdpi.com/2072-4292/12/9/1471,✓,A,○手法基盤,△空間代表性,○GEE活用,SMW;GEE;LST算出;放射率補正;TCWV,本研究で採用する標準手法。NCEP/NCAR TCWV=2.5°に注意
S2,Le Ngoc Hanh & Tran Thi An,2025,Assessment of Temperature Change in Da Nang City Vietnam Using Remote Sensing and Cloud-Computing Approach,The GIS-IDEAS Journal,都市化とLST変化,衛星,時系列解析・相関分析,ベトナム（ダナン）,記載なし,✓,A,△相関分析,,◎ベトナム都市,ダナン;NDVI;NDBI;時系列,ベトナム都市の先行事例として重要。発表年2025確定（Published August 2025）・DOIなし（#94監査でPDF確定）
S3,Onačillová et al.,2022,Combining Landsat 8 and Sentinel-2 Data in Google Earth Engine to Derive Higher Resolution Land Surface Temperature Maps in Urban Environment,Remote Sensing,高解像度LST生成,衛星,ダウンスケーリング,欧州都市,https://www.mdpi.com/2072-4292/14/16/4076,✓,A,○代理指標,◎スケール変換,○限定検証,Sentinel-2;ダウンスケーリング;都市LST;重回帰,RQ2スケール変換手法として重要。R²=0.829
S4,"Sun, Gao, Li, Wang, Liu",2019,Quantifying the effects of urban form on land surface temperature in subtropical high-density urban areas using machine learning,Remote Sensing,都市構造とLSTの定量評価,衛星・都市データ,OLS・ランダムフォレスト,寧波（Ningbo、中国）,https://www.mdpi.com/2072-4292/11/8/959,✓,A,◎変数重要度,◎スケール比較（100/200/400m）,,OLS;ランダムフォレスト;都市形態;NDVI;建物密度;観測スケール,RQ1の分析モデルとして参考。RF R²>0.9だがCVで0.66まで低下（Spatial CV必要性の裏付け）。PDF原本で2026-07-07に対象都市・性能・重要度を修正
S5,Osborne & Alvares-Sanches,2019,Quantifying how landscape composition and configuration affect urban land surface temperatures using machine learning and neutral landscapes,"Computers, Environment and Urban Systems",土地利用構成・配置の影響,リモートセンシング,機械学習・景観指標,英国Southampton,https://doi.org/10.1016/j.compenvurbsys.2019.04.003,✓,A,○近傍変数,◎◎空間配置・リング,△データ依存,構成;配置;景観指標;中立景観モデル;GBM;近傍効果,RQ2スケール設計の核心文献。近傍リング（30-60m等）手法。相関0.956
S6,Garzón et al.,2021,A remote sensing approach for surface urban heat island modeling in a tropical Colombian city using regression analysis and machine learning algorithms,Remote Sensing,熱帯都市のSUHI要因抽出,衛星・土地利用,重回帰・機械学習比較,コロンビア（熱帯都市）,https://doi.org/10.3390/rs13214256,✓,A,○寄与率定量化,△時系列PCA,◎熱帯途上国・放射率,SUHI;熱帯都市;NDVI;NDBI;NDWI;MLR;寄与率;Fcover;放射率比較,熱帯コロンビア都市SUHI。NDWI最大寄与51.46%、NDBI 21.38%。Fcover放射率R²=0.78。MLR R²=0.82、NBML精度95%。RQ1○、RQ3◎
S7,Derdouri et al.,2021,Understanding the Links between LULC Changes and SUHI in Cities: Insights from Two-Decadal Studies (2001–2020),Remote Sensing,LULC変化とSUHI研究の体系的整理,レビュー,Systematic review,グローバル（133都市・27か国）,https://doi.org/10.3390/rs13183654,✓,A,◎LULC・IS・NDVI/NDBI整理,◎季節性・スケール依存,◎Landsat/GEE・途上国研究整理,SUHI;LST;LULC;NDVI;NDBI;Impervious Surface;Landsat;Systematic Review,113本レビュー。Landsat利用95.5%、途上国都市92.7%。ハノイで市街地1%増加に対しLST 0.075-0.108℃上昇
S8,Lin et al.,2024,How does urban heat island differ across urban functional zones? Insights from 2D/3D urban morphology using geospatial big data,Urban Climate,UFZ別の2D/3D都市形態とUHI要因分析,衛星・GIS・機械学習,XGBoost・SHAP・Word2Vec+RF,中国（武漢）,https://doi.org/10.1016/j.uclim.2023.101787,✓,A,◎2D/3D形態・SHAP,◎街区・UFZ・空間的不均一性,○公開地理空間データ統合,Urban Morphology;UFZ;3D Morphology;XGBoost;SHAP;LST;POI;Street View;MST,18都市形態指標。XGBoost R²=0.83、Transportation zone R²=0.90。PBAが正影響、PFAが負影響
S9,Nguyen Thanh Hoan et al.,2018,Assessing the Effects of Land-Use Types in Surface Urban Heat Islands for Developing Comfortable Living in Hanoi City,Remote Sensing,土地利用構成とLSTの関係定量化・SUHI予測モデル導出,衛星,Split-Window法・ISODATA分類・移動窓集計・多変量回帰,ベトナム（ハノイ）,https://doi.org/10.3390/rs10121965,✓,A,○土地利用3クラスのみ,◎窓サイズ比較（準備120-570m・報告300-570m）,◎ベトナム・衛星のみで構築,ハノイ;ベトナム;土地利用構成;SUHI;Split-Window;ISODATA;移動窓;集計単位;Landsat 8,ハノイの一次文献。510m窓で%W R²=0.70・%U 0.67・%V 0.43。多変量R²≈0.9・RMSE 1.77℃。300m未満の窓は土地利用構成を表現できないと指摘。都市郊外LST差が2016 +0.53℃→2017 −0.21℃と符号反転。本文と表に数値不整合あり（要約の信頼度メモ参照）
S10,Hoang et al.,2025,From Data to Insights: Modeling Urban Land Surface Temperature Using Geospatial Analysis and Interpretable Machine Learning,Sensors,ダナン市中心部のLST空間変動のモデル化と要因寄与の解釈,衛星・地形,LightGBM・SHAP（TreeSHAP）・RF土地被覆分類・フラクタル次元,ベトナム（ダナン）,https://doi.org/10.3390/s25041169,✓,A,◎GBDT+SHAP・12変数,△単一スケール（半径3画素・約90m）,◎ベトナム・公開データのみ,ダナン;ベトナム;LightGBM;SHAP;built-up density;greenspace density;標高;NDVI;NDBI;ANDWI;NDBSI;Landsat 8;SRTM;フラクタル次元,ベトナム都市×GBDT+SHAPの一次文献。テストR² 0.85/0.92/0.91（2014/2019/2024）・RMSE 2.30/1.64/2.02℃。SHAP上位はbuilt-up densityとgreenspace densityが全年で3位以内。NDVIの冷却効果は2019・2024で不明瞭。建物高さ・人口密度・降水量はデータ不足で除外。大気補正なし・3000点のランダム70/30分割でSpatial CVなし。LST算出式まわりに複数の内部不整合あり（要約の信頼度メモ参照）
